No,year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
25,2010,1,2,0,-16,-4,1020,SE,1.79,0,0
26,2010,1,2,1,-15,-4,1020,SE,2.68,0,0
27,2010,1,2,2,-11,-5,1021,SE,3.57,0,0
28,2010,1,2,3,-7,-5,1022,SE,5.36,1,0
29,2010,1,2,4,-7,-5,1022,SE,6.25,2,0
30,2010,1,2,5,-7,-6,1022,SE,7.14,3,0
31,2010,1,2,6,-7,-6,1023,SE,8.93,4,0
32,2010,1,2,7,-7,-5,1024,SE,10.72,0,0
33,2010,1,2,8,-8,-6,1024,SE,12.51,0,0
34,2010,1,2,9,-7,-5,1025,SE,14.3,0,0
35,2010,1,2,10,-7,-5,1026,SE,17.43,1,0
36,2010,1,2,11,-8,-5,1026,SE,20.56,0,0
37,2010,1,2,12,-8,-5,1026,SE,23.69,0,0
38,2010,1,2,13,-8,-5,1025,SE,27.71,0,0
39,2010,1,2,14,-9,-5,1025,SE,31.73,0,0
40,2010,1,2,15,-9,-5,1025,SE,35.75,0,0
41,2010,1,2,16,-9,-5,1026,SE,37.54,0,0
42,2010,1,2,17,-8,-5,1027,SE,39.33,0,0
43,2010,1,2,18,-8,-5,1027,SE,42.46,0,0
44,2010,1,2,19,-8,-5,1028,SE,44.25,0,0
45,2010,1,2,20,-7,-5,1028,SE,46.04,0,0
46,2010,1,2,21,-7,-5,1027,SE,49.17,1,0
47,2010,1,2,22,-8,-6,1028,SE,52.3,2,0
48,2010,1,2,23,-8,-6,1027,SE,55.43,3,0
